date,gold,sp500,dxy,kospi200
2005-01,424.15,1181.4079956054688,83.11190468924386,117.19666726248605
2005-02,424.01052535207646,1199.6268439041942,83.72349967956544,125.02941176470588
2005-03,434.8952389671689,1194.8977272727273,82.83636335893111,127.70999977805398
2005-04,429.63499755859374,1164.4276123046875,84.26714288620721,123.5
2005-05,422.2952386765253,1178.2757161458333,85.62809499104817,121.07333374023438
2005-06,431.4238092331659,1202.2531682794745,88.44227253306995,127.67238180977958
2005-07,423.9699996948242,1222.2369995117188,89.69666617257255,136.2423800513858
2005-08,437.83043504797894,1224.2699983016305,87.94086987039317,142.34681840376422
2005-09,457.30476452055433,1225.914771670387,88.08000001453217,151.7104775565011
2005-10,469.99524071103053,1191.9642857142858,89.72190420968192,153.03600006103517
2005-11,475.5599990844727,1237.3685651506696,91.49190557570685,161.04318237304688
2005-12,509.55238124302457,1262.0719110398065,90.91619037446522,171.93476213727678
2006-01,550.9700012207031,1278.7224975585937,89.03099975585937,177.3028564453125
2006-02,555.2105327405428,1276.6452765213817,90.3526322214227,173.53999862670898
2006-03,558.100002122962,1293.7347783627717,89.96695642885955,172.23136416348544
2006-04,612.0631585372122,1302.1652703536183,88.409473619963,183.53600006103517
2006-05,673.6409135298295,1290.0136274857955,84.85727240822531,180.25049896240233
2006-06,595.5181801535866,1253.1681795987215,85.76590902155095,161.55428495861236
2006-07,634.394730417352,1260.2345031738282,85.8930004119873,165.59499893188476
2006-08,630.0652200450068,1287.1495679772418,85.04521743110989,171.075908314098
2006-09,598.3666701543899,1317.7430114746094,85.60449981689453,176.06619117373512
2006-10,585.8136402476918,1363.3772638494318,86.34272592717952,175.98947464792352
2006-11,626.9600067138672,1388.634753999256,84.84454553777522,181.71136474609375
2006-12,628.0449981689453,1416.4200073242187,83.35550041198731,183.40105317768297
2007-01,630.3904709588913,1424.160986328125,84.78047579810733,178.4413639415394
2007-02,666.0789505807977,1444.7947484066613,84.40631585372121,185.70315712376646
2007-03,653.6409107555043,1406.9518210671165,83.48409063165838,185.03050003051757
2007-04,679.9199981689453,1463.6405029296875,82.14999961853027,195.44190615699404
2007-05,667.5863591974431,1511.1368130770597,82.10999991677024,207.0923803420294
2007-06,654.8047543480283,1514.4895193917412,82.46619015648251,222.96199951171874
2007-07,665.7857171921503,1520.7047584170386,80.77857099260602,242.59761846633185
2007-08,665.05652120839,1454.6169592815897,80.93478260869566,229.93727319890803
2007-09,715.3684178402549,1497.1163265830592,79.30210515072471,238.15058809168198
2007-10,756.0304300059443,1539.65869140625,77.84782575524372,253.6572723388672
2007-11,805.5999988374256,1463.3852364676338,75.66904740106492,243.8609092018821
2007-12,807.9599975585937,1479.2234985351563,76.76400032043458,242.9388893975152
2008-01,891.3571341378348,1378.7638055710565,75.90428597586495,219.54590953480113
2008-02,925.1100006103516,1354.872509765625,75.67050018310547,214.8705554538303
2008-03,962.9300018310547,1316.9429931640625,72.45350036621093,209.78618948800224
2008-04,909.6636380282315,1370.4690940163352,72.11681851473722,228.1290472121466
2008-05,888.2047613234747,1403.2176164899554,72.91238076346261,237.24947156404195
2008-06,889.8952404203869,1341.250964936756,73.17952364966983,224.47449951171876
2008-07,939.9318209561435,1257.32636607777,72.53727236661044,200.71956535007644
2008-08,835.8333304268973,1281.4723656063989,76.0614278884161,197.0254997253418
2008-09,828.9619053431919,1217.0228562127977,78.26428513299851,186.5142865862165
2008-10,801.9913011633831,968.8008741295856,83.11173944887908,156.81545465642756
2008-11,754.8894813939145,883.04052734375,86.43210561651932,140.41799926757812
2008-12,822.6681823730469,877.5618175159801,83.10499988902698,145.6709514799572
2009-01,861.5599945068359,865.5755004882812,84.12249946594238,150.9199981689453
